2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.400         FitnessImprovement  Iteration = 294; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 295; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 296; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 297; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 298; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 299; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 300; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 301; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 302; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 303; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 304; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 305; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 306; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 307; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 308; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 309; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 310; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 311; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 312; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 313; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 314; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 315; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 316; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 317; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 318; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 319; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 320; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 321; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 322; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 323; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 324; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 325; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 326; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 327; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 328; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 329; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 330; Fitness = 215368
